Frequency Samples,Real,Imag
-6517.7,2.00548,-0.0172567
-6517.6,-4.75645e-05,6.25849e-07
-6517.5,1.99426,-0.0172563
-6517.4,-0.481643,0.00417423
-6517.3,1.97599,-0.0171924
-6517.2,-4.49086,0.0391816
-6517.1,-7.99963,0.0699865
-6517,8.5612,-0.0751061
-6516.9,2.02415,-0.0178058
-6516.8,4.48792,-0.0395865
-6516.7,2.00563,-0.0177388
-6516.6,3.9998,-0.0354004
-6516.5,1.9941,-0.0177326
-6516.4,4.45578,-0.0397296
-6516.3,1.97532,-0.0176605
-6516.2,8.38138,-0.0751319
-6516.1,-7.99961,0.0719038
-6516,-4.45234,0.0401258
-6515.9,2.0248,-0.0182971
-6515.8,-0.462245,0.00418615
-6515.7,2.00577,-0.0182209
-6515.6,-5.31673e-05,6.70552e-07
-6515.5,1.99394,-0.0182092
-6515.4,-0.482171,0.00441146
-6515.3,1.97466,-0.0181278
-6515.2,-4.49188,0.0413438
-6515.1,-7.99959,0.0738211
-6515,8.56607,-0.0792568
-6514.9,2.02546,-0.0187885
-6514.8,4.48877,-0.0417457
-6514.7,2.00592,-0.0187035
-6514.6,3.99978,-0.0373535
-6514.5,1.99377,-0.0186856
-6514.4,4.45489,-0.0418575
-6514.3,1.974,-0.018595
-6514.2,8.37652,-0.0791092
-6514.1,-7.99957,0.0757386
-6514,-4.45127,0.0422503
-6513.9,2.02612,-0.0192801
-6513.8,-0.461724,0.00440598
-6513.7,2.00607,-0.0191853
-6513.6,-5.90086e-05,6.4075e-07
-6513.5,1.99361,-0.0191622
-6513.4,-0.482699,0.00465274
-6513.3,1.97333,-0.0190612
-6513.2,-4.4929,0.0435071
-6513.1,-7.99955,0.0776558
-6513,8.57095,-0.0834088
-6512.9,2.02677,-0.0197719
-6512.8,4.48962,-0.0439057
-6512.7,2.00622,-0.0196679
-6512.6,3.99974,-0.0393066
-6512.5,1.99345,-0.0196376
-6512.4,4.45399,-0.0439842
-6512.3,1.97267,-0.0195279
-6512.2,8.37168,-0.0830748
-6512.1,-7.99952,0.0795729
-6512,-4.4502,0.044374
-6511.9,2.02743,-0.0202643
-6511.8,-0.461201,0.00462031
-6511.7,2.00637,-0.0201502
-6511.6,-6.48499e-05,7.15256e-07
-6511.5,1.99328,-0.0201149
-6511.4,-0.48323,0.00488353
-6511.3,1.97201,-0.0199939
-6511.2,-4.49391,0.0456715
-6511.1,-7.9995,0.0814904
-6511,8.57582,-0.0875621
-6510.9,2.02808,-0.0207567
-6510.8,4.49046,-0.0460668
-6510.7,2.00652,-0.020633
-6510.6,3.99971,-0.0411987
-6510.5,1.99312,-0.0205903
-6510.4,4.4531,-0.0461106
-6510.3,1.97134,-0.0204599
-6510.2,8.36684,-0.0870421
-6510.1,-7.99948,0.0834078
-6510,-4.44913,0.0464965
-6509.9,2.02874,-0.0212502
-6509.8,-0.46068,0.00483894
-6509.7,2.00666,-0.0211151
-6509.6,-7.11679e-05,1.01328e-06
-6509.5,1.99296,-0.0210667
-6509.4,-0.483748,0.00512981
-6509.3,1.97068,-0.0209258
