Frequency Samples,Real,Imag
-27.2,-4.06319e-06,0.000649384
-27.1,-6.68224e-07,-0.000549239
-27,1.93645e-06,0.0235494
-26.9,-6.25208e-07,0.000449391
-26.8,5.52624e-07,-0.000776666
-26.7,-3.01225e-07,0.00486476
-26.6,1.32108e-06,0.000271205
-26.5,-3.7771e-07,-0.00106028
-26.4,-2.2311e-07,0.00263684
-26.3,1.51445e-06,0.000114332
-26.2,-4.50294e-07,-0.00146665
-26.1,5.84289e-07,0.00174013
-26,7.65314e-07,-3.86701e-05
-25.9,1.61584e-07,-0.00212138
-25.8,-6.49132e-07,0.00123677
-25.7,1.14366e-06,-0.000198208
-25.6,7.71834e-08,-0.00346239
-25.5,6.75791e-07,0.00090215
-25.4,-6.63276e-07,-0.000359726
-25.3,-3.39583e-07,-0.00822513
-25.2,-3.79805e-07,0.000653834
-25.1,1.52539e-06,-0.000545977
-25,-6.44068e-07,0.0254285
-24.9,-1.45991e-06,0.000452909
-24.8,5.32717e-07,-0.000767148
-24.7,-4.29456e-07,0.0049443
-24.6,2.80875e-06,0.000271097
-24.5,2.83821e-06,-0.00105156
-24.4,1.78162e-06,0.00265447
-24.3,-1.66631e-06,0.000117982
-24.2,-1.4815e-06,-0.00145476
-24.1,-6.56466e-07,0.00175298
-24,4.77652e-07,-3.67794e-05
-23.9,5.4168e-07,-0.00210383
-23.8,6.35081e-06,0.00124451
-23.7,-4.07454e-08,-0.000189516
-23.6,2.55229e-06,-0.00342193
-23.5,-4.63333e-08,0.000908994
-23.4,-3.70143e-07,-0.000356921
-23.3,-9.46748e-07,-0.00801101
-23.2,8.31787e-07,0.000656314
-23.1,6.27013e-07,-0.000543472
-23,-7.27654e-07,0.027637
-22.9,-1.77464e-06,0.000454863
-22.8,-1.19052e-06,-0.000764693
-22.7,8.60658e-07,0.00502759
-22.6,2.77068e-08,0.000278756
-22.5,2.19163e-06,-0.00104518
-22.4,1.81375e-07,0.0026898
-22.3,-2.64845e-07,0.000122569
-22.2,-4.11819e-07,-0.00144568
-22.1,1.0361e-06,0.0017652
-22,3.35393e-07,-3.16986e-05
-21.9,5.12227e-09,-0.00208666
-21.8,1.62574e-06,0.00125236
-21.7,2.0907e-06,-0.000186266
-21.6,1.81259e-07,-0.00338348
-21.5,-1.51311e-06,0.000913598
-21.4,4.12459e-07,-0.000355265
-21.3,-2.00426e-06,-0.00781183
-21.2,1.96276e-07,0.00066137
-21.1,-5.52973e-07,-0.000537399
-21,-5.1246e-07,0.0302689
-20.9,5.67641e-07,0.000459657
-20.8,2.73064e-06,-0.000755883
-20.7,-4.54136e-07,0.00510937
-20.6,-7.74162e-07,0.000284272
-20.5,-2.24565e-07,-0.00103979
-20.4,6.81728e-07,0.00271188
-20.3,8.26549e-09,0.000123918
-20.2,2.66475e-07,-0.00143541
-20.1,-2.76312e-07,0.00177887
-20,7.77072e-07,-3.20189e-05
-19.9,-2.68908e-06,-0.00207217
-19.8,-7.89878e-08,0.00126106
-19.7,6.3912e-07,-0.000185428
-19.6,1.00944e-06,-0.00334285
-19.5,2.24914e-07,0.000920227
-19.4,-7.12054e-07,-0.000351741
-19.3,-1.70548e-07,-0.00762117
-19.2,5.08968e-07,0.000664422
-19.1,2.14018e-06,-0.000534104
-19,2.21783e-06,0.0334649
-18.9,-4.73158e-06,0.000455267
-18.8,-5.11616e-06,-0.000752807
-18.7,3.76604e-07,0.005195
-18.6,-1.7602e-07,0.000286046
-18.5,8.98726e-08,-0.00103338
-18.4,-3.76604e-07,0.00273879
-18.3,6.8394e-07,0.000128007
